Name,Adjusted Character,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,BotL Lv.2 Date in JP,BotL Lv.2 in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,Overcharge,Overcharge Date in GL,Overcharge Date in JP,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Ultimate Priority,Weakness to hit
Therese EX,,"Character%20List/Staff%2010.png, Character%20List/Wind%2058.png, Character%20List/Lightning%2014.png",Available in JP,,13 de marzo de 2025,18 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,13 de marzo de 2025,Overworld (Dragon Quest III),253,288,450,515,329,394,,,,Never,2.792,3.532,Approval,13 de marzo de 2025,B,"9,6",テレーズEx,Cleric,Memoir,Dragon Quest III Crossover Guidance,Available in JP,,13 de marzo de 2025,331,381,252,302,430,510,296,346,,"Lightning, Staff, Wind"
Eleonora,No,"Character%20List/Fan%207.png, Character%20List/Ice%2010.png",Available in GL,6 de marzo de 2025,22 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,28 de agosto de 2025,23 de mayo de 2024,Orsterra,247,282,433,498,377,427,31 de mayo de 2023,"4,92",D (4.99 - 4.00),Yes,2.786,3.606,Fame,3 de febrero de 2022,E,"9,1",エレオノーラ,Dancer,Atlasdam,Chance Encounters,Available in JP,,24 de octubre de 2024,253,303,214,264,504,574,352,417,Leave it at U Lv9,"Fan, Ice"
Stead,No,"Character%20List/Staff_Staves%2030.png, Character%20List/Dark%2053.png",Available in GL,6 de febrero de 2025,21 de septiembre de 2023,5 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,4 de julio de 2024,Orsterra,273,308,390,455,394,459,28 de septiembre de 2022,"3,23",E (3.99 - 0.00),Yes,2.807,3.547,Wealth,11 de marzo de 2021,D,"9,2",ステッド,Cleric,Donescu,Chance Encounters,Available in GL,30 de octubre de 2025,7 de noviembre de 2024,266,316,287,337,385,465,286,336,Leave it at U Lv9,"Dark, Staff"
Rique,Yes,"Character%20List/Spear_Polearm%2031.png, Character%20List/Wind%2044.png",Available in GL,15 de mayo de 2025,15 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de mayo de 2025,15 de febrero de 2024,Orsterra,241,276,350,400,305,355,11 de septiembre de 2024,"7,33",A (8.49 - 7.00),Never,3.090,3.990,Wealth,15 de febrero de 2024,B,"9,5",リーク,Merchant,Memoir,Traveler of Memories,Available in GL,20 de noviembre de 2025,6 de febrero de 2025,389,454,338,388,352,432,265,300,,"Polearm, Wind"
Primrose,No,"Character%20List/Fan%2033.png, Character%20List/Dark%2041.png",Available in GL,23 de enero de 2025,27 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de julio de 2025,8 de agosto de 2024,Orsterra,247,282,442,507,332,382,10 de agosto de 2022,"5,47",C (5.99 - 5.00),Yes,2.706,3.526,Power,13 de julio de 2021,B,"9,5",プリムロゼ,Dancer,Sunshade,Chance Encounters,Available in JP,,16 de enero de 2025,240,290,230,280,504,574,392,457,Leave it at U Lv9,"Dark, Fan"
Alrond,Yes,"Character%20List/Spear_Polearm%201.png, Character%20List/Sword%204.png, Character%20List/Dagger%202.png, Character%20List/Axe%203.png, Character%20List/Bow%201.png, Character%20List/Staff_Staves%201.png, Character%20List/Tome%201.png, Character%20List/Fan%202.png, Character%20List/Light%205.png",Available in GL,21 de agosto de 2025,12 de septiembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,21 de agosto de 2025,12 de septiembre de 2024,Solistia,246,281,225,275,285,335,21 de agosto de 2025,9,S (9.49 - 8.50),Never,3.200,4.100,Opulence,12 de septiembre de 2024,S,"9,8",アルロンド,Merchant,Memoir Logs,Memoirs of Solistia,Available in GL,30 de octubre de 2025,7 de noviembre de 2024,344,409,348,398,462,542,325,360,,"Axe, Bow, Dagger, Fan, Light, Polearm, Staff, Sword, Tome"
Glossom,No,"Character%20List/Fan%2013.png, Character%20List/Lightning_Thunder%2012.png",Available in GL,3 de julio de 2025,6 de junio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,3 de julio de 2025,6 de junio de 2024,Orsterra,270,305,337,402,332,382,5 de octubre de 2022,"3,69",E (3.99 - 0.00),Never,2.733,3.553,Power,11 de marzo de 2021,D,"9,2",グロッサム,Dancer,Donescu,Tourney,Unavailable,,,340,390,235,285,479,549,337,402,U Lv10 before A1,"Fan, Lightning"
Richard,No,"Character%20List/Sword%2046.png, Character%20List/Lightning_Thunder%2036.png",Available in GL,27 de marzo de 2025,14 de marzo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,28 de agosto de 2025,11 de julio de 2024,Orsterra,273,323,247,297,251,301,7 de junio de 2023,"7,63",A (8.49 - 7.00),Never,3.247,4.067,Fame,10 de febrero de 2022,B,"9,6",リシャール,Warrior,Memoir,Traveler of Memories,Unavailable,,,409,474,353,418,306,376,330,365,U Lv10 before A1,"Lightning, Sword"
Richard EX,Unreleased in GL,"Character%20List/Sword%2047.png, Character%20List/Polearm%207.png, Character%20List/Dagger%2035.png, Character%20List/Axe%2031.png, Character%20List/Bow%2032.png, Character%20List/Staff%207.png, Character%20List/Tome%2039.png, Character%20List/Fan%2035.png",Available in JP,,23 de octubre de 2025,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,23 de octubre de 2025,Orsterra,416,451,245,295,310,360,,,,Never,3.750,4.650,Fame,23 de octubre de 2025,S+,10,商人リシャール,Merchant,Memoir,Traveler of Memories,Available in JP,,23 de octubre de 2025,549,614,398,448,392,472,225,260,,"Axe, Bow, Dagger, Fan, Polearm, Staff, Sword, Tome"
Relisha,,"Character%20List/Staff_Staves%2027.png, Character%20List/Lightning_Thunder%2034.png",Available in GL,8 de enero de 2026,15 de agosto de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,8 de enero de 2026,15 de agosto de 2024,Solistia,313,348,330,395,322,387,8 de enero de 2026,,,Not yet,2.782,3.522,Domination,15 de agosto de 2024,B,"9,5",レリーシャ,Cleric,Memoir Logs,Chance Encounters,Available in GL,8 de enero de 2026,7 de noviembre de 2024,386,436,284,334,400,480,296,346,,"Lightning, Staff"
Cecily,No,"Character%20List/Spear_Polearm%205.png, Character%20List/Axe%206.png, Character%20List/Tome%204.png, Character%20List/Light%2010.png",Available in GL,20 de febrero de 2025,14 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de febrero de 2025,14 de febrero de 2024,Orsterra,216,251,270,320,270,320,13 de septiembre de 2023,"7,08",A (8.49 - 7.00),Yes,3.290,4.190,Fame,7 de octubre de 2021,C,"9,3",セシリー,Merchant,Grandport,Chance Encounters,Unavailable,,,384,449,313,363,397,477,330,365,Leave it at U Lv9,"Axe, Light, Polearm, Tome"
Feintz,Unreleased in GL,"Character%20List/Sword%2020.png, Character%20List/Polearm%202.png, Character%20List/Fire%2020.png",Available in JP,,6 de noviembre de 2025,6 de noviembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,6 de noviembre de 2025,Orsterra,363,413,247,297,301,351,,,,Never,3.612,4.432,Power,6 de noviembre de 2025,A,"9,7",フェインツ,Warrior,Memoir,Traveler of Memories,Available in JP,,6 de noviembre de 2025,489,554,378,443,396,466,390,425,,"Fire, Polearm, Sword"
Ditraina,No,"Character%20List/Tome%206.png, Character%20List/Light%2014.png, Character%20List/Dark%2013.png",Available in GL,20 de marzo de 2025,22 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,2 de octubre de 2025,1 de agosto de 2024,Orsterra,341,391,474,539,305,355,5 de junio de 2024,"6,63",B (6.99 - 6.00),Never,2.726,3.386,Power,1 de junio de 2023,B,"9,6",ディトレイナ,Scholar,Valore,Sacred Blaze Guidance,Unavailable,,,221,271,246,296,550,640,273,323,A4 before U Lv10,"Dark, Light, Tome"
2B,No,"Character%20List/Sword.png, Character%20List/Axe.png, Character%20List/Fire.png, Character%20List/Dark.png",Available in GL,4 de septiembre de 2025,14 de marzo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de septiembre de 2025,14 de marzo de 2024,NieR Universe (NieR series),288,338,257,307,246,296,22 de marzo de 2023,"4,89",D (4.99 - 4.00),Never,3.242,4.062,Fame,1 de marzo de 2022,E,"9,1",2B,Warrior,Memoir,NieR:Automata Crossover Guidance,Available in JP,,28 de noviembre de 2024,434,499,323,388,301,371,320,355,Leave it at U Lv9,"Axe, Dark, Fire, Sword"
Primrose EX,No,"Character%20List/Axe%2030.png, Character%20List/Lightning_Thunder%2032.png",Available in GL,24 de abril de 2025,31 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,,26 de septiembre de 2024,Orsterra,247,297,442,507,332,382,22 de noviembre de 2023,"8,07",A (8.49 - 7.00),Yes,2.706,3.526,Power,22 de septiembre de 2022,B,"9,6",プリムロゼEx,Apothecary,Sunshade,Chance Encounters,Available in JP,,,240,290,230,280,504,574,392,442,U Lv10 Game Changer,"Axe, Lightning"
Sofia,No,"Character%20List/Tome%2041.png, Character%20List/Ice%2045.png",Available in GL,16 de enero de 2025,31 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,18 de julio de 2024,Orsterra,246,296,389,454,335,385,27 de julio de 2022,"4,33",D (4.99 - 4.00),Yes,2.896,3.556,Wealth,28 de octubre de 2020,D,"9,2",ソフィア,Scholar,Emberglow,Chance Encounters,Available in JP,,8 de mayo de 2025,231,281,291,341,562,652,283,333,Leave it at U Lv9,"Ice, Tome"
Alaune,No,"Character%20List/Tome.png, Character%20List/Fire%203.png, Character%20List/Light%203.png",Available in GL,24 de abril de 2025,25 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de abril de 2025,25 de enero de 2024,Orsterra,211,261,404,469,360,410,28 de junio de 2023,"4,25",D (4.99 - 4.00),Never,2.906,3.566,Power,31 de marzo de 2022,C,"9,4",アラウネ,Scholar,Memoir,Traveler of Memories,Unavailable,,,201,251,316,366,577,667,293,343,Ultimate not worth,"Fire, Light, Tome"
Sertet,No,"Character%20List/Bow%2035.png, Character%20List/Wind%2049.png",Available in GL,20 de febrero de 2025,22 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,9 de mayo de 2024,Orsterra,355,420,202,252,243,263,19 de junio de 2024,"4,33",D (4.99 - 4.00),Yes,3.082,3.902,Power,8 de junio de 2023,D,"9,2",セルテト,Hunter,Sufrataljah,Chance Encounters,Unavailable,,,422,487,213,263,456,536,345,395,A1 then U Lv10,"Bow, Wind"
Ochette EX,No,"Character%20List/Sword%2040.png, Character%20List/Polearm%206.png, Character%20List/Dagger%2029.png, Character%20List/Axe%2027.png, Character%20List/Bow%2029.png, Character%20List/Staff%205.png, Character%20List/Tome%2034.png, Character%20List/Fan%2031.png, Character%20List/Fire%2046.png, Character%20List/Ice%2034.png, Character%20List/Lightning%2010.png",Available in GL,15 de enero de 2026,24 de abril de 2025,5 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de enero de 2026,24 de abril de 2025,Solistia,253,303,247,297,241,291,15 de enero de 2026,,,Never,3.082,3.902,Opulence,24 de abril de 2025,S,"9,8",オーシュットEx,Warrior,Memoir Logs,Memoirs of Solistia,Available in GL,15 de enero de 2026,24 de abril de 2025,429,494,348,413,396,466,335,370,,"Axe, Bow, Dagger, Fan, Fire, Ice, Lightning, Polearm, Staff, Sword, Tome"
9S,No,"Character%20List/Spear_Polearm.png, Character%20List/Fire%201.png, Character%20List/Lightning_Thunder.png",Available in GL,4 de septiembre de 2025,14 de marzo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de septiembre de 2025,14 de marzo de 2024,NieR Universe (NieR series),216,251,389,439,290,340,22 de marzo de 2023,"3,44",E (3.99 - 0.00),Never,3.240,4.140,Wealth,1 de marzo de 2022,E,"9,1",9S,Merchant,Memoir,NieR:Automata Crossover Guidance,Available in JP,,28 de noviembre de 2024,235,300,353,403,362,442,320,355,U Lv10 before A1,"Fire, Lightning, Polearm"
Signa EX,Unreleased in GL,"Character%20List/Axe%2038.png, Character%20List/Sword%2054.png, Character%20List/Polearm%208.png, Character%20List/Staff%208.png",Available in JP,,13 de marzo de 2025,18 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,13 de marzo de 2025,Overworld (Dragon Quest III),208,258,236,301,248,298,,,,Never,3.940,4.760,Approval,13 de marzo de 2025,A,"9,7",シグナEx,Apothecary,Memoir,Dragon Quest III Crossover Guidance,Available in JP,,13 de marzo de 2025,440,490,357,407,378,448,196,246,,"Axe, Polearm, Staff, Sword"
Gilderoy,No,"Character%20List/Spear_Polearm%2011.png, Character%20List/Lightning_Thunder%2011.png",Available in GL,16 de enero de 2025,4 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de julio de 2025,12 de septiembre de 2024,Orsterra,251,286,280,330,300,350,27 de julio de 2022,"4,29",D (4.99 - 4.00),Yes,3.528,4.428,Power,28 de octubre de 2020,C,"9,4",ギルデロイ,Merchant,Clearbrook,Chance Encounters,Available in JP,,16 de enero de 2025,354,419,363,413,322,402,208,243,U Lv10 before A1,"Lightning, Polearm"
Olberic,No,"Character%20List/Sword%2042.png, Character%20List/Spear_Polearm%2025.png, Character%20List/Lightning_Thunder%2027.png",Available in GL,23 de enero de 2025,13 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de febrero de 2025,14 de febrero de 2024,Orsterra,258,308,237,287,271,321,25 de enero de 2023,"4,92",D (4.99 - 4.00),Yes,3.452,4.272,Power,28 de octubre de 2021,C,"9,4",オルベリク,Warrior,Sheperd's Rock,Chance Encounters,Available in GL,30 de octubre de 2025,29 de mayo de 2025,434,499,378,443,291,361,235,270,Leave it at U Lv9,"Lightning, Polearm, Sword"
Grieg,No,"Character%20List/Sword%2023.png, Character%20List/Fire%2024.png",Available in GL,20 de marzo de 2025,3 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de marzo de 2025,4 de enero de 2024,Solistia,283,333,227,277,301,351,20 de marzo de 2025,"4,6",D (4.99 - 4.00),Yes,3.402,4.222,Domination,3 de agosto de 2023,C,"9,4",グリーグ,Warrior,Memoir Logs,Chance Encounters,Available in JP,,30 de enero de 2025,424,489,383,448,296,366,225,260,,"Fire, Sword"
Millard EX,Yes,"Character%20List/Spear_Polearm%2020.png, Character%20List/Ice%2030.png",Available in GL,25 de diciembre de 2025,14 de diciembre de 2023,11 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,25 de diciembre de 2025,14 de diciembre de 2023,Orsterra,278,313,365,415,419,469,6 de diciembre de 2023,"6,2",B (6.99 - 6.00),Never,2.772,3.672,Fame,8 de diciembre de 2022,E,"9,1",ミロードEx,Merchant,Valore,Hallowed Travelers,Available in GL,25 de diciembre de 2025,12 de diciembre de 2024,251,316,292,342,420,500,296,331,Leave it at U Lv9,"Ice, Polearm"
Emil,No,"Character%20List/Staff_Staves%207.png, Character%20List/Tome%2010.png, Character%20List/Dark%2018.png",Available in GL,4 de septiembre de 2025,29 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de septiembre de 2025,29 de febrero de 2024,NieR Universe (NieR series),253,288,465,530,334,399,4 de septiembre de 2025,"7,57",A (8.49 - 7.00),Never,2.762,3.502,Wealth,29 de febrero de 2024,A,"9,7",エミール,Cleric,Memoir,NieR Replicant Crossover Guidance,Available in JP,,28 de noviembre de 2024,226,276,257,307,590,670,286,336,,"Dark, Staff, Tome"
A2,No,"Character%20List/Dagger.png, Character%20List/Sword%201.png, Character%20List/Axe%201.png",Available in GL,4 de septiembre de 2025,14 de marzo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de septiembre de 2025,14 de marzo de 2024,NieR Universe (NieR series),368,418,80,130,248,298,22 de marzo de 2023,"5,89",C (5.99 - 5.00),Never,3.012,3.832,Power,1 de marzo de 2022,C,"9,4",A2,Thief,Memoir,NieR:Automata Crossover Guidance,Available in JP,,28 de noviembre de 2024,454,519,305,325,332,412,450,515,A4 before U Lv10,"Axe, Dagger, Sword"
Ceraphina,No,"Character%20List/Dark%209.png, Character%20List/Light%2012.png",Available in GL,30 de octubre de 2025,10 de octubre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,30 de octubre de 2025,10 de octubre de 2024,Orsterra,213,263,506,571,278,328,30 de octubre de 2025,"7,13",A (8.49 - 7.00),Never,3.180,4.000,Fame,10 de octubre de 2024,S,"9,8",セラフィナ,Apothecary,Memoir,Champion of Memories,Available in GL,30 de octubre de 2025,24 de octubre de 2024,235,285,332,382,418,488,291,341,,"Dark, Light"
Elrica,Yes (CN only),"Character%20List/Sword%2015.png, Character%20List/Fire%2019.png, Character%20List/Lightning_Thunder%207.png, Character%20List/Light%2020.png, Character%20List/Dark%2016.png",Available in GL,23 de octubre de 2025,22 de agosto de 2024,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,23 de octubre de 2025,22 de agosto de 2024,Orsterra,333,383,227,277,251,301,24 de abril de 2024,7,A (8.49 - 7.00),Never,3.232,4.052,Power,1 de enero de 2023,B,"9,6",エリカ,Warrior,Memoir,Traveler of Memories,Available in JP,,29 de mayo de 2025,429,494,338,403,346,416,270,305,A4 before U Lv10,"Dark, Light, Sword"
Yomi,Unreleased in GL,"Character%20List/Fan%2040.png, Character%20List/Sword%2062.png, Character%20List/Ice%2052.png, Character%20List/Light%2068.png",Available in JP,,20 de noviembre de 2025,20 de noviembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,20 de noviembre de 2025,Solistia,277,312,467,532,392,442,,,,Never,3.276,4.096,Approval,20 de noviembre de 2025,S,"9,8",ヨミ,Dancer,Memoir Logs,Memoirs of Solistia,Available in JP,,20 de noviembre de 2025,295,345,305,355,554,624,412,477,,"Fan, Ice, Light, Sword"
NieR,No,"Character%20List/Spear_Polearm%2021.png, Character%20List/Sword%2036.png, Character%20List/Dark%2032.png",Available in GL,4 de septiembre de 2025,29 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de septiembre de 2025,29 de febrero de 2024,NieR Universe (NieR series),276,311,225,275,295,345,4 de septiembre de 2025,"8,14",A (8.49 - 7.00),Never,3.270,4.170,Fame,29 de febrero de 2024,S,"9,8",ニーア,Merchant,Memoir,NieR Replicant Crossover Guidance,Available in JP,,28 de noviembre de 2024,444,509,293,343,362,442,300,335,,"Dark, Polearm, Sword"
Nada,Unreleased in GL,"Character%20List/Tome%2028.png, Character%20List/Light%2043.png",Available in JP,,4 de diciembre de 2025,4 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,4 de diciembre de 2025,Solistia,316,366,509,574,370,420,,,,Never,3.396,4.056,Approval,4 de diciembre de 2025,A,"9,7",ナーダ,Scholar,Memoir Logs,Memoirs of Solistia,Available in JP,,4 de diciembre de 2025,266,316,306,356,622,712,313,363,,"Light, Tome"
Aviete,Unreleased in GL,"Character%20List/Staff.png, Character%20List/Sword%207.png, Character%20List/Polearm.png, Character%20List/Dagger%205.png, Character%20List/Tome%203.png, Character%20List/Fan%203.png, Character%20List/Fire%206.png, Character%20List/Ice%204.png, Character%20List/Lightning%202.png, Character%20List/Wind%204.png, Character%20List/Light%206.png, Character%20List/Dark%206.png",Available in JP,,17 de julio de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,17 de julio de 2025,Orsterra,228,263,435,500,389,454,,,,Never,2.762,3.502,Fame,17 de julio de 2025,S+,"9,9",アヴィーテ,Cleric,Memoir,Traveler of Memories,Available in JP,,17 de julio de 2025,216,266,302,352,450,530,331,381,,"Dark, Fire, Ice, Light, Lightning, Staff, Wind"
Promme,No,"Character%20List/Staff_Staves%2025.png, Character%20List/Fire%2054.png",Available in GL,6 de febrero de 2025,21 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de febrero de 2025,28 de marzo de 2024,Orsterra,283,318,385,450,379,444,20 de septiembre de 2023,"3,63",E (3.99 - 0.00),Yes,2.897,3.637,Power,10 de junio de 2021,D,"9,2",プロメ,Cleric,Victors Hollow,Chance Encounters,Unavailable,,,276,326,277,327,390,470,266,316,Leave it at U Lv9,"Fire, Staff"
Harley,Yes,"Character%20List/Fan%2015.png, Character%20List/Wind%2017.png",Available in GL,15 de mayo de 2025,14 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de mayo de 2025,11 de abril de 2024,Orsterra,262,297,380,445,351,401,28 de diciembre de 2022,"4,42",D (4.99 - 4.00),Yes,2.831,3.651,Fame,10 de febrero de 2021,C,"9,3",ハーレー,Dancer,Victors Hollow,Chance Encounters,Available in GL,,27 de marzo de 2025,257,307,239,289,452,522,356,421,U Lv10 before A1,"Fan, Wind"
Partitio EX,,"Character%20List/Dagger%2031.png, Character%20List/Staff%206.png",Available in JP,,13 de marzo de 2025,18 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,13 de marzo de 2025,Overworld (Dragon Quest III),488,538,216,266,218,268,,,,Never,2.922,3.742,Opulence,13 de marzo de 2025,S,"9,8",パルテティオEx,Thief,Memoir,Dragon Quest III Crossover Guidance,Available in JP,,13 de marzo de 2025,358,423,235,255,322,402,435,500,,"Dagger, Staff"
Ophilia,No,"Character%20List/Staff_Staves%2023.png, Character%20List/Light%2047.png",Available in GL,23 de enero de 2025,13 de julio de 2023,20 de noviembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de julio de 2025,8 de agosto de 2024,Orsterra,258,293,380,445,399,464,25 de enero de 2023,"6,23",B (6.99 - 6.00),Yes,2.757,3.497,Fame,28 de octubre de 2021,B,"9,5",オフィーリア,Cleric,Emberglow,Chance Encounters,Available in GL,30 de octubre de 2025,24 de octubre de 2024,251,301,292,342,470,550,291,341,U Lv10 before A1,"Light, Staff"
Ringabel,No,"Character%20List/Sword%2048.png, Character%20List/Dark%2045.png",Available in GL,3 de abril de 2025,22 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,3 de abril de 2025,22 de noviembre de 2023,Luxendarc (BRAVELY DEFAULT),388,438,227,277,256,306,3 de abril de 2025,"7,5",A (8.49 - 7.00),Never,3.232,4.052,Wealth,22 de noviembre de 2023,B,"9,6",リングアベル,Warrior,Memoir,BRAVELY DEFAULT Crossover Guidance,Unavailable,,,434,499,348,413,296,366,235,270,,"Dark, Sword"
Elvis,No,"Character%20List/Tome%209.png, Character%20List/Lightning_Thunder%209.png",Available in JP,,29 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,22 de noviembre de 2023,Excillant (BRAVELY DEFAULT II),226,276,374,439,305,355,5 de octubre de 2022,"2,78",E (3.99 - 0.00),Never,3.136,3.796,Fame,28 de abril de 2021,D,"9,2",エルヴィス,Scholar,Theatropolis,Free (Collab Traveler Story),Unavailable,,,246,296,276,326,502,592,273,323,A4 before U Lv10,"Lightning, Tome"
Hikari,Yes (CN only),"Character%20List/Sword%2025.png, Character%20List/Spear_Polearm%2014.png, Character%20List/Dagger%2018.png, Character%20List/Axe%2015.png, Character%20List/Bow%2015.png, Character%20List/Staff_Staves%209.png, Character%20List/Tome%2016.png, Character%20List/Fan%2019.png",Available in GL,26 de junio de 2025,1 de enero de 2024,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,26 de junio de 2025,1 de enero de 2024,Solistia,303,353,217,267,271,321,26 de junio de 2025,"7,33",A (8.49 - 7.00),Never,3.242,4.062,Domination,1 de enero de 2024,B,"9,6",ヒカリ,Warrior,Memoir Logs,Memoirs of Solistia,Available in GL,11 de diciembre de 2025,9 de enero de 2025,429,494,358,423,306,376,295,330,,"Axe, Bow, Dagger, Fan, Polearm, Staff, Sword, Tome"
Theo,No,"Character%20List/Axe%2044.png, Character%20List/Lightning_Thunder%2043.png",Available in GL,16 de enero de 2025,17 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,16 de enero de 2025,29 de febrero de 2024,Orsterra,208,258,306,371,238,288,27 de julio de 2022,"3,92",E (3.99 - 0.00),Yes,3.230,4.050,Power,28 de octubre de 2020,C,"9,4",テオ,Apothecary,Theatropolis,Chance Encounters,Available in JP,,27 de febrero de 2025,350,400,397,447,418,488,286,336,Ultimate not worth,"Axe, Lightning"
Osvald EX,No,"Character%20List/Dark%2037.png, Character%20List/Light%2049.png",Available in GL,15 de enero de 2026,24 de abril de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de enero de 2026,24 de abril de 2025,Solistia,233,268,495,560,409,474,15 de enero de 2026,,,Never,2.712,3.452,Domination,24 de abril de 2025,S+,"9,9",オズバルドEx,Cleric,Memoir Logs,Memoirs of Solistia,Available in GL,15 de enero de 2026,24 de abril de 2025,231,281,232,282,470,550,276,326,,"Dark, Light"
Tithi,No,"Character%20List/Fan%2039.png, Character%20List/Lightning_Thunder%2045.png",Available in GL,13 de marzo de 2025,7 de diciembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de marzo de 2025,7 de diciembre de 2023,Orsterra,239,274,417,482,337,387,5 de abril de 2023,"5,6",C (5.99 - 5.00),Never,2.776,3.596,Fame,1 de diciembre de 2021,B,"9,5",ティティ,Dancer,Sufrataljah,Sacred Blaze Guidance,Available in JP,,27 de febrero de 2025,230,280,227,277,494,564,412,477,Leave it at U Lv9,"Fan, Lightning"
Kilns,Yes,"Character%20List/Bow%2019.png, Character%20List/Lightning_Thunder%2016.png",Available in GL,20 de marzo de 2025,9 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de marzo de 2025,9 de noviembre de 2023,Orsterra,395,460,210,260,293,313,3 de octubre de 2024,"9,57",S+ (10.00 - 9.50),Never,3.372,4.192,Power,9 de noviembre de 2023,A,"9,7",キルン,Hunter,Memoir,Traveler of Memories,Available in GL,6 de noviembre de 2025,23 de enero de 2025,372,437,268,318,371,451,365,415,,Bow
Therese,No,"Character%20List/Tome%2046.png, Character%20List/Lightning_Thunder%2044.png",Available in GL,13 de febrero de 2025,17 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de febrero de 2025,18 de enero de 2024,Orsterra,266,316,374,439,330,380,17 de agosto de 2022,"2,75",E (3.99 - 0.00),Yes,2.876,3.536,Fame,26 de noviembre de 2020,E,"9,1",テレーズ,Scholar,Theatropolis,Chance Encounters,Available in GL,,6 de enero de 2025,226,276,281,331,567,657,303,353,A4 before U Lv10,"Lightning, Tome"
