Name,Adjusted Character,Attributes,Class,Crit (Lv. 120),E.Atk (Lv. 120),E.Def (Lv. 120),GL Score,GL Tier,HP (Lv. 120),Influence,Japanese Name,Job,Location,P.Atk (Lv. 120),P.Def (Lv. 120),SP (Lv. 120),Spd (Lv. 120)
Adelle,No,"Character%20List/Dagger%201.png, Character%20List/Light.png",⭐️⭐️⭐️⭐️⭐️,398,316,278,"4,63",D (4.99 - 4.00),3707,Wealth,アデル,Thief,Nameless Town,463,275,407,490
Sail,No,"Character%20List/Sword%2051.png, Character%20List/Lightning_Thunder%2039.png, Character%20List/Dark%2050.png",⭐️⭐️⭐️⭐️⭐️,,,,"5,3",C (5.99 - 5.00),,Domination,セイル,Warrior,Memoir Logs,,,,
Dorothea,Yes,"Character%20List/Spear_Polearm%209.png, Character%20List/Fire%2016.png",⭐️⭐️⭐️⭐️⭐️,296,340,340,"6,11",B (6.99 - 6.00),4280,Wealth,ドロテア,Merchant,Sheperd's Rock,444,393,412,270
Lynette,No,"Character%20List/Fan%2022.png, Character%20List/Fire%2036.png",⭐️⭐️⭐️⭐️⭐️,307,467,392,6,B (6.99 - 6.00),3606,Power,リネット,Dancer,Cragspear,300,290,569,407
Levina EX,Unreleased in GL,"Character%20List/Dagger%2023.png, Character%20List/Lightning%206.png, Character%20List/Wind%2027.png",⭐️⭐️⭐️⭐️⭐️,548,321,278,,,4072,Wealth,レヴィーナEx,Thief,Memoir,523,275,582,555
Magnolia,No,"Character%20List/Spear_Polearm%2019.png, Character%20List/Lightning_Thunder%2024.png",⭐️⭐️⭐️⭐️⭐️,316,290,320,"7,75",A (8.49 - 7.00),4260,Power,マグノリア,Merchant,Memoir,519,398,412,275
Mahrez,Unreleased in GL,"Character%20List/Sword%2031.png, Character%20List/Polearm%204.png, Character%20List/Dagger%2026.png, Character%20List/Axe%2019.png, Character%20List/Bow%2025.png, Character%20List/Staff%202.png, Character%20List/Tome%2024.png, Character%20List/Fan%2024.png, Character%20List/Lightning%209.png, Character%20List/Light%2036.png",⭐️⭐️⭐️⭐️⭐️,298,277,321,,,4080,Power,マフレズ,Warrior,Memoir,539,403,376,350
Edea,No,"Character%20List/Sword%2013.png, Character%20List/Fire%2017.png, Character%20List/Light%2017.png",⭐️⭐️⭐️⭐️⭐️,348,312,341,3,E (3.99 - 0.00),4062,Power,イデア,Warrior,Nameless Town,454,448,356,295
Yunnie,No,"Character%20List/Bow%2040.png, Character%20List/Sword%2064.png, Character%20List/Spear_Polearm%2039.png, Character%20List/Axe%2045.png, Character%20List/Fire%2076.png",⭐️⭐️⭐️⭐️⭐️,440,290,253,"6,31",B (6.99 - 6.00),3862,Fame,ユーニィ,Hunter,Grandport,472,268,461,400
Joshua,No,"Character%20List/Sword%2027.png, Character%20List/Ice%2019.png",⭐️⭐️⭐️⭐️⭐️,403,307,291,"3,4",E (3.99 - 0.00),4037,Fame,ジョシュア,Warrior,Cathedral of Thytos,439,363,361,395
Eltrix,No,"Character%20List/Sword%2018.png, Character%20List/Axe%2010.png, Character%20List/Dark%2017.png",⭐️⭐️⭐️⭐️⭐️,343,287,296,"6,6",B (6.99 - 6.00),4392,Wealth,エルトリクス,Warrior,Memoir,469,393,371,305
Cecil,No,"Character%20List/Sword%208.png, Character%20List/Light%209.png, Character%20List/Dark%208.png",⭐️⭐️⭐️⭐️⭐️,373,257,331,"8,92",S (9.49 - 8.50),4072,Fame,セシル,Warrior,Memoir,464,423,366,290
Cyrus EX,No,"Character%20List/Sword%2011.png, Character%20List/Fire%2012.png, Character%20List/Lightning%203.png, Character%20List/Wind%2010.png",⭐️⭐️⭐️⭐️⭐️,323,462,301,,,3872,Approval,サイラスEx,Warrior,Memoir,499,363,416,270
Tytos,Yes,"Character%20List/Sword%2061.png, Character%20List/Lightning_Thunder%2046.png",⭐️⭐️⭐️⭐️⭐️,388,307,281,"5,88",C (5.99 - 5.00),4072,Power,タイタス,Warrior,Memoir,514,423,376,315
Serenoa,No,"Character%20List/Sword%2053.png, Character%20List/Fire%2062.png",⭐️⭐️⭐️⭐️⭐️,398,292,266,"5,43",C (5.99 - 5.00),4042,Power,セレノア,Warrior,Memoir,444,403,371,350
Hammy,No,"Character%20List/Tome%2014.png, Character%20List/Ice%2015.png",⭐️⭐️⭐️⭐️⭐️,326,344,345,"5,78",C (5.99 - 5.00),3416,Fame,ハミィ,Scholar,I'cirlo,451,306,440,453
Eltrix EX,Unreleased in GL,"Character%20List/Sword%2019.png, Character%20List/Axe%2011.png, Character%20List/Bow%2010.png, Character%20List/Ice%2011.png",⭐️⭐️⭐️⭐️⭐️,350,495,278,,,4022,Wealth,エルトリクスEx,Hunter,Memoir,357,278,466,380
Ditraina EX,Yes,"Character%20List/Bow%207.png, Character%20List/Fire%2014.png, Character%20List/Ice%209.png, Character%20List/Lightning_Thunder%206.png, Character%20List/Wind%2012.png, Character%20List/Light%2015.png, Character%20List/Dark%2014.png",⭐️⭐️⭐️⭐️⭐️,410,325,273,"8,89",S (9.49 - 8.50),3747,Power,ディトレイナEx,Hunter,Memoir,517,278,506,380
H’aanit EX,No,"Character%20List/Fan%2014.png, Character%20List/Fire%2025.png",⭐️⭐️⭐️⭐️⭐️,377,392,305,"7,63",A (8.49 - 7.00),3916,Fame,ハンイットEx,Dancer,Valore,438,281,439,415
Hasumi,No,"Character%20List/Fan%2017.png, Character%20List/Light%2026.png",⭐️⭐️⭐️⭐️⭐️,299,482,406,"4,5",D (4.99 - 4.00),3576,Power,ハスミ,Dancer,Grandport,280,315,572,382
Ophilia EX,Yes,"Character%20List/Tome%2036.png, Character%20List/Fire%2048.png, Character%20List/Ice%2036.png, Character%20List/Lightning_Thunder%2028.png, Character%20List/Wind%2040.png, Character%20List/Light%2048.png, Character%20List/Dark%2036.png",⭐️⭐️⭐️⭐️⭐️,286,504,380,"7,17",A (8.49 - 7.00),3416,Fame,オフィーリアEx,Scholar,Memoir,276,336,702,338
Terra,Unreleased in GL,"Character%20List/Tome%2045.png, Character%20List/Fire%2069.png, Character%20List/Ice%2048.png, Character%20List/Lightning%2013.png, Character%20List/Wind%2057.png, Character%20List/Light%2063.png, Character%20List/Dark%2057.png",⭐️⭐️⭐️⭐️⭐️,361,529,375,,,3506,Power,ティナ,Scholar,Memoir,246,301,692,313
Scarecrow,No,"Character%20List/Bow%2034.png, Character%20List/Wind%2048.png",⭐️⭐️⭐️⭐️⭐️,475,280,283,"4,15",D (4.99 - 4.00),3892,Fame,スケアクロウ,Hunter,Sheperd's Rock,442,273,456,395
H’aanit,No,"Character%20List/Bow%2013.png, Character%20List/Sword%2024.png, Character%20List/Spear_Polearm%2012.png, Character%20List/Lightning_Thunder%2013.png",⭐️⭐️⭐️⭐️⭐️,407,377,275,"3,93",E (3.99 - 0.00),3916,Fame,ハンイット,Hunter,Valore,453,281,449,400
Esmeralda,Unreleased in GL,Character%20List/Dagger%2013.png,⭐️⭐️⭐️⭐️⭐️,358,286,293,,,3732,Power,エスメラルダ,Thief,Memoir,488,295,432,545
Elrica EX,Yes,"Character%20List/Dagger%2012.png, Character%20List/Sword%2016.png, Character%20List/Spear_Polearm%2010.png, Character%20List/Axe%209.png, Character%20List/Bow%209.png, Character%20List/Staff_Staves%206.png, Character%20List/Tome%208.png, Character%20List/Fan%208.png, Character%20List/Lightning_Thunder%208.png",⭐️⭐️⭐️⭐️⭐️,398,276,323,"8,5",S (9.49 - 8.50),3652,Power,エリカEx,Thief,Memoir,488,300,412,485
Herminia,Yes,"Character%20List/Bow%2014.png, Character%20List/Fan%2018.png, Character%20List/Light%2027.png",⭐️⭐️⭐️⭐️⭐️,465,300,278,"6,56",B (6.99 - 6.00),3882,Wealth,ヘルミニア,Hunter,Memoir,492,273,476,400
Partitio,Yes,"Character%20List/Spear_Polearm%2028.png, Character%20List/Bow%2031.png",⭐️⭐️⭐️⭐️⭐️,281,285,340,"7,29",A (8.49 - 7.00),4300,Opulence,パルテティオ,Merchant,Memoir Logs,449,408,482,290
Agnès,No,"Character%20List/Staff_Staves.png, Character%20List/Wind%201.png, Character%20List/Light%202.png",⭐️⭐️⭐️⭐️⭐️,293,455,459,"5,29",C (5.99 - 5.00),3517,Fame,アニエス,Cleric,Nameless Town,306,337,475,381
Frederica,Yes,"Character%20List/Tome%2013.png, Character%20List/Fire%2023.png",⭐️⭐️⭐️⭐️⭐️,261,479,405,"7,2",A (8.49 - 7.00),3636,Fame,フレデリカ,Scholar,Memoir,271,331,652,343
Z’aanta,No,"Character%20List/Bow%2041.png, Character%20List/Dagger%2046.png, Character%20List/Fan%2041.png, Character%20List/Light%2069.png",⭐️⭐️⭐️⭐️⭐️,430,340,253,"5,25",C (5.99 - 5.00),4042,Wealth,ザンター,Hunter,Victors Hollow,462,288,451,365
Tiziano,No,"Character%20List/Dagger%2042.png, Character%20List/Wind%2060.png",⭐️⭐️⭐️⭐️⭐️,358,291,293,"9,49",S (9.49 - 8.50),3732,Wealth,ティツィアーノ,Thief,Memoir,463,290,452,525
Cardona,No,"Character%20List/Spear_Polearm%203.png, Character%20List/Ice%205.png",⭐️⭐️⭐️⭐️⭐️,281,355,330,"4,15",D (4.99 - 4.00),4300,Fame,カルドナ,Merchant,Atlasdam,439,393,437,260
Lianna,No,"Character%20List/Staff_Staves%2013.png, Character%20List/Ice%2025.png",⭐️⭐️⭐️⭐️⭐️,318,425,494,"4,3",D (4.99 - 4.00),3502,Fame,リアナ,Cleric,Cathedral of Thytos,306,362,430,326
Viola EX,No,"Character%20List/Tome%2048.png, Character%20List/Fire%2073.png, Character%20List/Ice%2049.png, Character%20List/Light%2065.png",⭐️⭐️⭐️⭐️⭐️,251,554,360,,,3556,Opulence,ヴィオラEx,Scholar,Memoir,271,296,662,368
Stia,Unreleased in GL,"Character%20List/Axe%2042.png, Character%20List/Staff%209.png, Character%20List/Tome%2043.png, Character%20List/Wind%2054.png",⭐️⭐️⭐️⭐️⭐️,383,376,348,,,4540,Fame,,Apothecary,Memoir,535,467,478,341
Temenos,No,"Character%20List/Staff_Staves%2033.png, Character%20List/Light%2062.png",⭐️⭐️⭐️⭐️⭐️,293,475,464,"6,43",B (6.99 - 6.00),3452,Domination,テメノス,Cleric,Memoir Logs,311,347,540,346
Osvald,Yes,"Character%20List/Tome%2037.png, Character%20List/Fire%2050.png, Character%20List/Ice%2037.png, Character%20List/Lightning_Thunder%2029.png",⭐️⭐️⭐️⭐️⭐️,341,554,365,"8,5",S (9.49 - 8.50),3396,Domination,オズバルド,Scholar,Memoir Logs,261,316,682,288
Sazantos EX,Yes,"Character%20List/Spear_Polearm%2033.png, Character%20List/Fire%2061.png, Character%20List/Wind%2047.png",⭐️⭐️⭐️⭐️⭐️,381,275,295,"8,71",S (9.49 - 8.50),4120,Power,サザントスEx,Merchant,Memoir,544,338,422,335
Nephti,Yes,"Character%20List/Axe%2024.png, Character%20List/Staff_Staves%2021.png, Character%20List/Tome%2029.png",⭐️⭐️⭐️⭐️⭐️,253,316,410,"7,71",A (8.49 - 7.00),4020,Fame,ネフティ,Apothecary,Memoir,405,450,418,336
Auguste,Yes,"Character%20List/Dagger%204.png, Character%20List/Tome%202.png, Character%20List/Dark%204.png",⭐️⭐️⭐️⭐️⭐️,308,336,320,"6,54",B (6.99 - 6.00),3942,Fame,アーギュスト,Thief,Memoir,473,323,417,465
Jillmeila,No,"Character%20List/Bow%2017.png, Character%20List/Dark%2024.png",⭐️⭐️⭐️⭐️⭐️,470,326,274,4,D (4.99 - 4.00),3722,Power,ジルメイラ,Hunter,I'cirlo,468,276,455,390
Aoi,Unreleased in GL,"Character%20List/Sword%205.png, Character%20List/Lightning%201.png, Character%20List/Wind%203.png",⭐️⭐️⭐️⭐️⭐️,338,292,281,,,4032,Domination,アオイ,Warrior,Memoir Logs,504,358,376,380
Edgar,Unreleased in GL,"Character%20List/Polearm%201.png, Character%20List/Axe%208.png, Character%20List/Bow%208.png, Character%20List/Light%2018.png",⭐️⭐️⭐️⭐️⭐️,296,275,340,,,4340,Fame,エドガー,Merchant,Memoir,479,408,462,260
Oersted,No,"Character%20List/Sword%2041.png, Character%20List/Spear_Polearm%2024.png, Character%20List/Staff_Staves%2022.png, Character%20List/Fire%2047.png, Character%20List/Wind%2039.png, Character%20List/Dark%2035.png",⭐️⭐️⭐️⭐️⭐️,383,297,301,5,C (5.99 - 5.00),4052,Fame,オルステッド,Warrior,Memoir,474,403,386,320
Agnea EX,Yes,"Character%20List/Bow.png, Character%20List/Light%201.png, Character%20List/Dark%201.png",⭐️⭐️⭐️⭐️⭐️,370,450,253,"7,86",A (8.49 - 7.00),3692,Fame,アグネアEx,Hunter,Memoir,497,263,466,390
Tikilen,No,"Character%20List/Sword%2059.png, Character%20List/Wind%2059.png",⭐️⭐️⭐️⭐️⭐️,340,437,291,"4,29",D (4.99 - 4.00),3882,Wealth,ティキレン,Warrior,Victors Hollow,389,388,371,325
Largo,No,"Character%20List/Spear_Polearm%2017.png, Character%20List/Bow%2020.png, Character%20List/Fire%2033.png, Character%20List/Lightning_Thunder%2017.png",⭐️⭐️⭐️⭐️⭐️,247,417,316,"3,75",E (3.99 - 0.00),4160,Fame,ラルゴ,Merchant,Atlasdam,376,376,427,275
Streibough,No,"Character%20List/Tome%2044.png, Character%20List/Fire%2067.png, Character%20List/Ice%2046.png, Character%20List/Lightning_Thunder%2042.png, Character%20List/Wind%2055.png, Character%20List/Dark%2054.png",⭐️⭐️⭐️⭐️⭐️,271,484,385,"4,5",D (4.99 - 4.00),3656,Power,ストレイボウ,Scholar,Memoir,266,326,657,363
Roland,Yes,"Character%20List/Spear_Polearm%2032.png, Character%20List/Lightning_Thunder%2038.png",⭐️⭐️⭐️⭐️⭐️,351,325,310,"7,44",A (8.49 - 7.00),3920,Fame,ロラン,Merchant,Memoir,459,378,412,400
Sofia EX,No,"Character%20List/Axe%2039.png, Character%20List/Wind%2052.png",⭐️⭐️⭐️⭐️⭐️,296,454,385,"5,57",C (5.99 - 5.00),3716,Wealth,ソフィアEx,Apothecary,Emberglow,281,341,632,333
Mirgardi,No,"Character%20List/Fan%2027.png, Character%20List/Axe%2021.png, Character%20List/Fire%2038.png, Character%20List/Wind%2032.png",⭐️⭐️⭐️⭐️⭐️,275,357,327,"4,86",D (4.99 - 4.00),3706,Opulence,ミルガルディ,Dancer,Memoir Logs,465,317,504,407
Lionel,Yes,"Character%20List/Sword%2030.png, Character%20List/Ice%2026.png",⭐️⭐️⭐️⭐️⭐️,368,287,306,"3,31",E (3.99 - 0.00),4072,Fame,ライオネル,Warrior,Flamesgrace,469,423,356,310
Solon,No,"Character%20List/Tome%2042.png, Character%20List/Spear_Polearm%2035.png, Character%20List/Fire%2066.png",⭐️⭐️⭐️⭐️⭐️,286,459,360,"8,14",A (8.49 - 7.00),3736,Wealth,ソロン,Scholar,Memoir,321,371,682,283
Soleil,No,"Character%20List/Axe%2040.png, Character%20List/Light%2060.png",⭐️⭐️⭐️⭐️⭐️,268,426,278,"4,08",D (4.99 - 4.00),4035,Power,ソレイユ,Apothecary,Sufrataljah,382,433,458,326
Therion,No,"Character%20List/Dagger%2040.png, Character%20List/Fire%2070.png",⭐️⭐️⭐️⭐️⭐️,368,351,278,"6,38",B (6.99 - 6.00),3712,Wealth,テリオン,Thief,Cragspear,443,275,412,510
Zenia,Yes,"Character%20List/Axe%2046.png, Character%20List/Dark%2062.png",⭐️⭐️⭐️⭐️⭐️,263,531,267,"6,89",B (6.99 - 6.00),3910,Power,ゼニア,Apothecary,Grandport,345,392,568,286
Locke,Unreleased in GL,"Character%20List/Dagger%2024.png, Character%20List/Bow%2021.png, Character%20List/Fire%2035.png, Character%20List/Ice%2027.png, Character%20List/Lightning%207.png",⭐️⭐️⭐️⭐️⭐️,388,266,278,,,3712,Wealth,ロック,Thief,Memoir,528,285,432,500
Crick,Yes,"Character%20List/Sword%2010.png, Character%20List/Staff_Staves%204.png, Character%20List/Light%2013.png",⭐️⭐️⭐️⭐️⭐️,328,257,381,"8,6",S (9.49 - 8.50),4282,Approval,クリック,Warrior,Memoir Logs,419,463,406,270
Final Emperor,Unreleased in GL,"Character%20List/Sword%2021.png, Character%20List/Polearm%203.png, Character%20List/Dagger%2016.png, Character%20List/Axe%2012.png, Character%20List/Bow%2011.png, Character%20List/Staff%201.png, Character%20List/Fire%2021.png, Character%20List/Ice%2013.png, Character%20List/Lightning%205.png, Character%20List/Light%2023.png, Character%20List/Dark%2020.png",⭐️⭐️⭐️⭐️⭐️,373,317,351,,,4602,Power,最終皇帝(男),Warrior,Memoir,619,453,416,355
Alfyn,No,"Character%20List/Axe%202.png, Character%20List/Ice%202.png",⭐️⭐️⭐️⭐️⭐️,318,351,288,"5,64",C (5.99 - 5.00),4055,Fame,アーフェン,Apothecary,Clearbrook,430,442,453,306
Sowan,Yes,"Character%20List/Axe%2041.png, Character%20List/Light%2061.png, Character%20List/Dark%2052.png",⭐️⭐️⭐️⭐️⭐️,299,471,288,"8,67",S (9.49 - 8.50),4020,Domination,ソワン,Apothecary,Memoir Logs,470,322,463,300
Rinyuu,No,"Character%20List/Staff_Staves%2028.png, Character%20List/Bow%2033.png, Character%20List/Lightning_Thunder%2037.png",⭐️⭐️⭐️⭐️⭐️,288,435,489,"7,83",A (8.49 - 7.00),3442,Fame,リンユウ,Cleric,Memoir,291,372,565,336
Tahir,,"Character%20List/Sword%2057.png, Character%20List/Fire%2068.png",⭐️⭐️⭐️⭐️,375,287,299,,,4064,Fame,ターヒル,Warrior,Sunshade,456,403,352,313
Eliza,No,"Character%20List/Sword%2014.png, Character%20List/Light%2019.png",⭐️⭐️⭐️⭐️⭐️,328,387,301,"3,85",E (3.99 - 0.00),3912,Power,エリザ,Warrior,Cathedral of Thytos,424,403,438,315
Miles,No,"Character%20List/Sword%2033.png, Character%20List/Light%2040.png",⭐️⭐️⭐️⭐️,361,291,311,,,4050,Power,マイルズ,Warrior,Emberglow,443,417,361,309
Agnea,Yes (CN only),"Character%20List/Fan.png, Character%20List/Wind.png",⭐️⭐️⭐️⭐️⭐️,297,467,387,7,A (8.49 - 7.00),3596,Approval,アグネア,Dancer,Memoir Logs,285,285,614,447
Celes,Unreleased in GL,"Character%20List/Sword%209.png, Character%20List/Ice%207.png, Character%20List/Light%2011.png",⭐️⭐️⭐️⭐️⭐️,313,492,331,,,3892,Domination,セリス,Warrior,Memoir,349,398,406,320
Final Empress,Unreleased in GL,"Character%20List/Tome%2012.png, Character%20List/Fire%2022.png, Character%20List/Wind%2015.png, Character%20List/Light%2024.png",⭐️⭐️⭐️⭐️⭐️,301,619,435,,,3936,Power,最終皇帝(女),Scholar,Memoir,301,386,752,343
Kazan,Unreleased in GL,"Character%20List/Tome%2019.png, Character%20List/Fire%2032.png, Character%20List/Wind%2021.png",⭐️⭐️⭐️⭐️⭐️,371,519,365,,,3486,Domination,カザン,Scholar,Memoir Logs,266,306,672,293
Lars,No,"Character%20List/Sword%2029.png, Character%20List/Wind%2024.png",⭐️⭐️⭐️⭐️⭐️,378,307,301,"5,5",C (5.99 - 5.00),3982,Power,ラース,Warrior,Sufrataljah,484,373,371,350
Hikari EX,Yes,"Character%20List/Staff_Staves%2010.png, Character%20List/Fire%2028.png, Character%20List/Ice%2017.png, Character%20List/Lightning_Thunder%2014.png, Character%20List/Wind%2019.png, Character%20List/Light%2028.png",⭐️⭐️⭐️⭐️⭐️,333,590,399,"9,55",S+ (10.00 - 9.50),3552,Domination,ヒカリEx,Cleric,Memoir Logs,296,317,540,291
O. Odio,Yes,"Character%20List/Sword%2038.png, Character%20List/Fire%2045.png, Character%20List/Dark%2034.png",⭐️⭐️⭐️⭐️⭐️,403,277,286,"7,88",A (8.49 - 7.00),3912,Fame,オディオ・O,Warrior,Memoir,534,388,401,325
Rita,,"Character%20List/Axe%2033.png, Character%20List/Wind%2045.png",⭐️⭐️⭐️⭐️,277,371,278,,,4043,Power,リタ,Apothecary,Clearbrook,385,439,460,331
Fiore EX,No,Character%20List/Fan%2012.png,⭐️⭐️⭐️⭐️⭐️,368,302,291,"6,67",B (6.99 - 6.00),4042,Fame,フィオルEx,Dancer,Rippletide,454,393,356,375
S. Odio,Yes,"Character%20List/Staff_Staves%2029.png, Character%20List/Fire%2058.png, Character%20List/Dark%2049.png",⭐️⭐️⭐️⭐️⭐️,253,525,404,5,C (5.99 - 5.00),3462,Power,オディオ・S,Cleric,Memoir,276,332,605,391
Fabio,,"Character%20List/Fan%2011.png, Character%20List/Wind%2014.png",⭐️⭐️⭐️⭐️,307,441,392,,,3596,Wealth,ファビオ,Dancer,Rippletide,300,305,550,402
Molrusso EX,No,"Character%20List/Fan%2028.png, Character%20List/Sword%2034.png, Character%20List/Axe%2022.png, Character%20List/Staff%203.png, Character%20List/Tome%2025.png, Character%20List/Fire%2039.png",⭐️⭐️⭐️⭐️⭐️,357,382,332,,,3606,Domination,モルルッソEx,Dancer,Memoir,440,270,539,427
Nina-Lanna,No,"Character%20List/Tome%2030.png, Character%20List/Dark%2033.png",⭐️⭐️⭐️⭐️⭐️,301,526,355,"4,56",D (4.99 - 4.00),3466,Power,ニーナラーナ,Scholar,Berecain,266,326,662,333
Merrit,,"Character%20List/Axe%2020.png, Character%20List/Light%2039.png",⭐️⭐️⭐️⭐️,273,375,278,,,4030,Wealth,メレット,Apothecary,Sheperd's Rock,388,432,473,326
Madelaine,,"Character%20List/Staff_Staves%2015.png, Character%20List/Lightning_Thunder%2023.png",⭐️⭐️⭐️⭐️,319,420,458,,,3517,Wealth,マドレーヌ,Cleric,Clearbrook,331,322,488,341
Iris,,"Character%20List/Fan%2020.png, Character%20List/Ice%2018.png",⭐️⭐️⭐️⭐️,302,447,397,,,3586,Fame,イリス,Dancer,Sunshade,305,290,554,407
Jane,No,Character%20List/Axe%2016.png,⭐️⭐️⭐️⭐️⭐️,328,336,308,"7,14",A (8.49 - 7.00),3895,Opulence,ジェイン,Apothecary,Memoir,470,402,478,321
Ramona,,"Character%20List/Staff_Staves%2026.png, Character%20List/Ice%2039.png",⭐️⭐️⭐️⭐️,288,432,445,,,3872,Power,ラモーナ,Cleric,Clearbrook,290,278,451,390
Levan,,"Character%20List/Tome%2022.png, Character%20List/Light%2033.png",⭐️⭐️⭐️⭐️,291,409,405,,,3526,Wealth,レヴァン,Scholar,Victors Hollow,296,336,637,331
Rocbouquet,Unreleased in GL,"Character%20List/Fan%2036.png, Character%20List/Lightning%2012.png, Character%20List/Wind%2046.png, Character%20List/Dark%2046.png",⭐️⭐️⭐️⭐️⭐️,322,637,452,,,4086,Power,七英雄ロックブーケ,Dancer,Memoir,320,370,614,377
Molrusso,Yes,"Character%20List/Staff_Staves%2018.png, Character%20List/Wind%2033.png",⭐️⭐️⭐️⭐️⭐️,313,415,464,"3,17",E (3.99 - 0.00),3512,Power,モルルッソ,Cleric,Cragspear,311,332,505,376
Cedric,,"Character%20List/Staff_Staves%203.png, Character%20List/Fire%2010.png",⭐️⭐️⭐️⭐️,283,351,394,,,2792,Power,セドリック,Cleric,Sunshade,267,279,410,287
Rinyuu EX,Yes,"Character%20List/Axe%2032.png, Character%20List/Light%2054.png, Character%20List/Fire%2057.png, Character%20List/Ice%2041.png",⭐️⭐️⭐️⭐️⭐️,288,435,489,"9,73",S+ (10.00 - 9.50),3442,Fame,リンユウEx,Apothecary,Memoir,291,372,565,336
Lolo,,"Character%20List/Bow%2022.png, Character%20List/Staff_Staves%2014.png, Character%20List/Light%2034.png",⭐️⭐️⭐️⭐️,440,280,268,,,3852,Fame,ロロ,Hunter,Cathedral of Thytos,417,278,461,415
Ochette,Yes,"Character%20List/Bow%2028.png, Character%20List/Sword%2039.png, Character%20List/Spear_Polearm%2023.png, Character%20List/Axe%2026.png, Character%20List/Lightning_Thunder%2026.png, Character%20List/Wind%2037.png, Character%20List/Light%2045.png",⭐️⭐️⭐️⭐️⭐️,460,270,258,"8,14",A (8.49 - 7.00),3682,Opulence,オーシュット,Hunter,Memoir Logs,522,263,456,460
Relm,Unreleased in GL,"Character%20List/Fan%2034.png, Character%20List/Dagger%2033.png, Character%20List/Fire%2056.png, Character%20List/Ice%2040.png, Character%20List/Lightning%2011.png, Character%20List/Wind%2043.png, Character%20List/Light%2053.png, Character%20List/Dark%2044.png",⭐️⭐️⭐️⭐️⭐️,262,582,357,,,3496,Approval,リルム,Dancer,Memoir,280,260,584,467
Sazantos,Yes,"Character%20List/Sword%2052.png, Character%20List/Fire%2060.png, Character%20List/Light%2057.png",⭐️⭐️⭐️⭐️⭐️,318,337,266,"8,58",S (9.49 - 8.50),3932,Power,サザントス,Warrior,Memoir,489,393,541,325
Levina,No,"Character%20List/Tome%2023.png, Character%20List/Dagger%2022.png, Character%20List/Wind%2026.png, Character%20List/Lightning_Thunder%2020.png",⭐️⭐️⭐️⭐️⭐️,281,539,335,"5,6",C (5.99 - 5.00),3536,Wealth,レヴィーナ,Scholar,Memoir,331,306,612,353
Signa,No,"Character%20List/Fan%2037.png, Character%20List/Fire%2064.png, Character%20List/Light%2059.png",⭐️⭐️⭐️⭐️⭐️,297,467,392,"9,75",S+ (10.00 - 9.50),3496,Fame,シグナ,Dancer,Memoir,295,305,574,462
Ori,Yes,"Character%20List/Spear_Polearm%2026.png, Character%20List/Wind%2041.png",⭐️⭐️⭐️⭐️⭐️,286,410,300,"6,67",B (6.99 - 6.00),3970,Approval,オリ,Merchant,Memoir Logs,459,363,412,375
Noel,Unreleased in GL,"Character%20List/Dagger%2028.png, Character%20List/Sword%2037.png, Character%20List/Polearm%205.png, Character%20List/Axe%2025.png, Character%20List/Bow%2027.png, Character%20List/Staff%204.png, Character%20List/Tome%2032.png, Character%20List/Fan%2030.png, Character%20List/Fire%2043.png, Character%20List/Ice%2033.png, Character%20List/Wind%2035.png",⭐️⭐️⭐️⭐️⭐️,338,276,398,,,4282,Fame,七英雄ノエル,Thief,Memoir,658,405,482,425
Yukes,No,"Character%20List/Staff_Staves%2035.png, Character%20List/Fire%2075.png",⭐️⭐️⭐️⭐️⭐️,273,450,464,"2,27",E (3.99 - 0.00),3512,Wealth,ユークス,Cleric,Sunshade,291,323,495,421
Aslyte,,"Character%20List/Dagger%203.png, Character%20List/Ice%203.png",⭐️⭐️⭐️⭐️,380,316,303,,,3707,Fame,アズライト,Thief,Cragspear,415,292,417,477
Rai Mei,Yes,"Character%20List/Spear_Polearm%2030.png, Character%20List/Sword%2044.png, Character%20List/Fire%2055.png, Character%20List/Lightning_Thunder%2033.png, Character%20List/Light%2052.png, Character%20List/Dark%2042.png",⭐️⭐️⭐️⭐️⭐️,316,505,315,"7,78",A (8.49 - 7.00),4140,Approval,ライ・メイ,Merchant,Memoir Logs,354,348,522,265
Julio,,"Character%20List/Tome%2018.png, Character%20List/Ice%2020.png",⭐️⭐️⭐️,234,349,330,,,2926,Fame,フリオ,Scholar,Rippletide,256,301,547,283
Menno,,"Character%20List/Staff_Staves%2016.png, Character%20List/Wind%2031.png",⭐️⭐️⭐️⭐️,278,349,397,,,2786,Fame,メノ,Cleric,Rippletide,263,287,406,289
Dorrie,,"Character%20List/Tome%207.png, Character%20List/Dark%2015.png",⭐️⭐️⭐️,286,419,385,,,3556,Wealth,ドリー,Scholar,Theatropolis,301,356,642,333
Peredir,,"Character%20List/Tome%2038.png, Character%20List/Fire%2053.png",⭐️⭐️⭐️⭐️,281,422,380,,,3546,Fame,ペレディール,Scholar,Valore,291,355,647,328
Laura,,"Character%20List/Tome%2021.png, Character%20List/Lightning_Thunder%2018.png",⭐️⭐️⭐️⭐️,277,416,399,,,3550,Power,ラウラ,Scholar,Theatropolis,305,343,642,325
