Name,Adjusted Character,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,BotL Lv.2 Date in JP,BotL Lv.2 in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,Overcharge,Overcharge Date in GL,Overcharge Date in JP,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Weakness to hit
Eltrix,No,"Character%20List/Sword%207.png, Character%20List/Axe%205.png, Character%20List/Dark%205.png",Available in GL,11 de septiembre de 2025,6 de junio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,11 de septiembre de 2025,6 de junio de 2024,Orsterra,293,343,237,287,246,296,13 de diciembre de 2023,"6,6",B (6.99 - 6.00),Never,3572,4392,Wealth,25 de agosto de 2022,D | 9.2-9.1,"9,1",エルトリクス,Warrior,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,404,469,328,393,301,371,270,305,"Axe, Dark, Sword"
Auguste,Yes,"Character%20List/Dagger%209.png, Character%20List/Tome%2011.png, Character%20List/Dark%206.png",Available in GL,18 de diciembre de 2025,2 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,18 de diciembre de 2025,2 de noviembre de 2023,Orsterra,258,308,286,336,270,320,26 de julio de 2023,"6,54",B (6.99 - 6.00),Never,3122,3942,Fame,28 de abril de 2022,F+ | 8.5,"8,5",アーギュスト,Thief,Memoir,Champion of Memories,Available in GL,18 de diciembre de 2025,24 de octubre de 2024,408,473,303,323,337,417,400,465,"Dagger, Dark, Tome"
Frederica,Yes,"Character%20List/Tome%2012.png, Character%20List/Fire%2014.png",Available in GL,29 de mayo de 2025,4 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,29 de mayo de 2025,4 de enero de 2024,Norzelia (TRIANGLE STRATEGY),211,261,414,479,355,405,20 de septiembre de 2023,"7,2",A (8.49 - 7.00),Never,2976,3636,Fame,28 de julio de 2022,D | 9.2-9.1,"9,2",フレデリカ,Scholar,Memoir,TRIANGLE STRATEGY Crossover Guidance,Available in JP,,17 de julio de 2025,221,271,281,331,562,652,293,343,"Fire, Tome"
Roland,Yes,"Character%20List/Spear_Polearm%206.png, Character%20List/Lightning_Thunder%2011.png",Available in GL,29 de mayo de 2025,4 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,29 de mayo de 2025,4 de enero de 2024,Norzelia (TRIANGLE STRATEGY),316,351,275,325,260,310,20 de septiembre de 2023,"7,44",A (8.49 - 7.00),Never,3020,3920,Fame,28 de julio de 2022,F+ | 8.5,"8,5",ロラン,Merchant,Memoir,TRIANGLE STRATEGY Crossover Guidance,Available in JP,,17 de julio de 2025,394,459,328,378,332,412,365,400,"Lightning, Polearm"
Therion,No,"Character%20List/Dagger%2010.png, Character%20List/Fire%2015.png",Available in GL,23 de enero de 2025,27 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de julio de 2025,8 de agosto de 2024,Orsterra,318,368,301,351,228,278,24 de noviembre de 2022,"6,38",B (6.99 - 6.00),Yes,2892,3712,Wealth,1 de enero de 2022,E | 9.0,9,テリオン,Thief,Cragspear,Chance Encounters,Available in JP,,5 de junio de 2025,378,443,255,275,332,412,445,510,"Dagger, Fire"
Hasumi,No,"Character%20List/Fan%208.png, Character%20List/Light%2012.png",Available in GL,27 de febrero de 2025,22 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,28 de agosto de 2025,15 de agosto de 2024,Orsterra,264,299,417,482,356,406,31 de agosto de 2022,"4,5",D (4.99 - 4.00),Yes,2756,3576,Power,22 de septiembre de 2021,D | 9.2-9.1,"9,2",ハスミ,Dancer,Grandport,Chance Encounters,Available in GL,,19 de diciembre de 2024,230,280,265,315,502,572,317,382,"Fan, Light"
Nina-Lanna,No,"Character%20List/Tome%2013.png, Character%20List/Dark%207.png",Available in GL,6 de marzo de 2025,12 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,14 de agosto de 2025,4 de julio de 2024,Orsterra,251,301,461,526,305,355,6 de marzo de 2024,"4,56",D (4.99 - 4.00),Yes,2806,3466,Power,9 de diciembre de 2021,F+ | 8.5,"8,5",ニーナラーナ,Scholar,Berecain,Chance Encounters,Available in GL,,16 de enero de 2025,216,266,276,326,572,662,283,333,"Dark, Tome"
H’aanit,No,"Character%20List/Bow%205.png, Character%20List/Sword%208.png, Character%20List/Spear_Polearm%207.png, Character%20List/Lightning_Thunder%2012.png",Available in GL,23 de enero de 2025,27 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,23 de enero de 2025,9 de noviembre de 2023,Orsterra,342,407,327,377,255,275,7 de septiembre de 2022,"3,93",E (3.99 - 0.00),Yes,3096,3916,Fame,5 de noviembre de 2020,F | 8.0,8,ハンイット,Hunter,Valore,Chance Encounters,Available in GL,23 de abril de 2026,19 de junio de 2025,388,453,231,281,369,449,350,400,"Bow, Lightning, Polearm, Sword"
Levina,No,"Character%20List/Tome%2014.png, Character%20List/Dagger%2011.png, Character%20List/Wind%209.png, Character%20List/Lightning_Thunder%2013.png",Available in GL,27 de marzo de 2025,18 de abril de 2024,8 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de marzo de 2025,18 de abril de 2024,Orsterra,231,281,474,539,285,335,13 de marzo de 2024,"5,6",C (5.99 - 5.00),Never,2876,3536,Wealth,9 de junio de 2022,C | 9.4-9.3,"9,3",レヴィーナ,Scholar,Memoir,Traveler of Memories,Unavailable,,,281,331,256,306,522,612,303,353,"Dagger, Tome, Wind"
Alfyn,No,"Character%20List/Axe%206.png, Character%20List/Ice%207.png",Available in GL,23 de enero de 2025,27 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de julio de 2025,8 de agosto de 2024,Orsterra,268,318,286,351,238,288,30 de noviembre de 2022,"5,64",C (5.99 - 5.00),Yes,3235,4055,Fame,17 de marzo de 2022,D | 9.2-9.1,"9,1",アーフェン,Apothecary,Clearbrook,Chance Encounters,Unavailable,,,380,430,392,442,383,453,256,306,"Axe, Ice"
Sofia EX,No,"Character%20List/Axe%207.png, Character%20List/Wind%2010.png",Available in GL,14 de agosto de 2025,8 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,14 de agosto de 2025,25 de julio de 2024,Orsterra,246,296,389,454,335,385,9 de agosto de 2023,"5,57",C (5.99 - 5.00),Never,2896,3716,Wealth,8 de agosto de 2022,D | 9.2-9.1,"9,1",ソフィアEx,Apothecary,Emberglow,The Marine Travelers,Available in GL,23 de abril de 2026,14 de agosto de 2025,231,281,291,341,562,632,283,333,"Axe, Wind"
Leon,No,"Character%20List/Spear_Polearm%208.png, Character%20List/Staff_Staves%204.png",Available in GL,10 de julio de 2025,30 de mayo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de julio de 2025,30 de mayo de 2024,Orsterra,246,281,240,290,285,335,27 de diciembre de 2023,7,A (8.49 - 7.00),Never,3280,4180,Wealth,29 de septiembre de 2022,E | 9.0,9,レオン,Merchant,Grandport,Sacred Blaze Guidance,Available in GL,23 de abril de 2026,,444,509,348,398,382,462,235,270,"Polearm, Staff"
Kersjes,Yes,"Character%20List/Bow%206.png, Character%20List/Ice%208.png",Available in GL,27 de febrero de 2025,12 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,21 de agosto de 2025,29 de agosto de 2024,Orsterra,365,430,315,365,248,268,18 de enero de 2023,"3,9",E (3.99 - 0.00),Yes,3092,3912,Fame,8 de abril de 2021,F | 8.0,8,カージェス,Hunter,Victors Hollow,Chance Encounters,Unavailable,,,432,497,223,273,306,386,305,355,"Bow, Ice"
Tatloch,Yes,"Character%20List/Fan%209.png, Character%20List/Sword%209.png, Character%20List/Spear_Polearm%209.png, Character%20List/Axe%208.png, Character%20List/Staff_Staves%205.png, Character%20List/Wind%2011.png",Available in GL,19 de junio de 2025,9 de mayo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,19 de junio de 2025,9 de mayo de 2024,G'roha,262,297,402,467,257,307,10 de enero de 2024,"7,14",A (8.49 - 7.00),Never,3236,4056,Power,13 de octubre de 2022,D | 9.2-9.1,"9,2",タトゥロック,Dancer,Memoir,Champion of Memories,Available in JP,,24 de octubre de 2024,415,465,225,275,424,494,292,357,"Axe, Fan, Polearm, Staff, Sword, Wind"
Edea,No,"Character%20List/Sword%2010.png, Character%20List/Fire%2016.png, Character%20List/Light%2013.png",Available in GL,10 de abril de 2025,29 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de abril de 2025,30 de noviembre de 2023,Luxendarc (BRAVELY DEFAULT),298,348,262,312,291,341,12 de octubre de 2022,3,E (3.99 - 0.00),Never,3242,4062,Power,6 de mayo de 2021,D | 9.2-9.1,"9,1",イデア,Warrior,Nameless Town,BRAVELY DEFAULT Crossover Guidance,Available in GL,14 de mayo de 2026,,389,454,383,448,286,356,260,295,"Fire, Light, Sword"
Fiore EX,No,Character%20List/Fan%2010.png,Available in GL,14 de agosto de 2025,8 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,14 de agosto de 2025,25 de julio de 2024,Orsterra,333,368,237,302,241,291,9 de agosto de 2023,"6,67",B (6.99 - 6.00),Never,3222,4042,Fame,8 de agosto de 2022,B | 9.6-9.5,"9,5",フィオルEx,Dancer,Rippletide,The Marine Travelers,Available in GL,23 de abril de 2026,14 de agosto de 2025,404,454,343,393,286,356,310,375,Fan
Zenia,Yes,"Character%20List/Axe%209.png, Character%20List/Dark%208.png",Available in GL,10 de julio de 2025,30 de mayo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de julio de 2025,30 de mayo de 2024,Orsterra,213,263,466,531,217,267,11 de octubre de 2023,"6,89",B (6.99 - 6.00),Never,3090,3910,Power,1 de junio de 2022,C | 9.4-9.3,"9,3",ゼニア,Apothecary,Grandport,Sacred Blaze Guidance,Unavailable,,,295,345,342,392,498,568,236,286,"Axe, Dark"
Rinyuu,No,"Character%20List/Staff_Staves%206.png, Character%20List/Bow%207.png, Character%20List/Lightning_Thunder%2014.png",Available in GL,27 de marzo de 2025,19 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de marzo de 2025,19 de octubre de 2023,Orsterra,253,288,370,435,424,489,18 de octubre de 2023,"7,83",A (8.49 - 7.00),Never,2702,3442,Fame,30 de junio de 2022,B | 9.6-9.5,"9,5",リンユウ,Cleric,Memoir,Traveler of Memories,Unavailable,,,241,291,322,372,485,565,286,336,"Bow, Lightning, Staff"
Agnès,No,"Character%20List/Staff_Staves%207.png, Character%20List/Wind%2012.png, Character%20List/Light%2014.png",Available in GL,10 de abril de 2025,29 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de abril de 2025,30 de noviembre de 2023,Luxendarc (BRAVELY DEFAULT),258,293,390,455,394,459,19 de octubre de 2022,"5,29",C (5.99 - 5.00),Never,2777,3517,Fame,13 de mayo de 2021,C | 9.4-9.3,"9,3",アニエス,Cleric,Nameless Town,BRAVELY DEFAULT Crossover Guidance,Available in GL,14 de mayo de 2026,,256,306,287,337,395,475,331,381,"Light, Staff, Wind"
Yukes,No,"Character%20List/Staff_Staves%208.png, Character%20List/Fire%2017.png",Available in GL,20 de marzo de 2025,7 de diciembre de 2023,26 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,14 de agosto de 2025,6 de junio de 2024,Orsterra,238,273,385,450,399,464,15 de noviembre de 2023,"2,27",E (3.99 - 0.00),Yes,2772,3512,Wealth,12 de mayo de 2022,D | 9.2-9.1,"9,2",ユークス,Cleric,Sunshade,Chance Encounters,Available in GL,30 de octubre de 2025,21 de noviembre de 2024,241,291,273,323,415,495,371,421,"Fire, Staff"
Cardona,No,"Character%20List/Spear_Polearm%2010.png, Character%20List/Ice%209.png",Available in GL,20 de febrero de 2025,9 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,18 de julio de 2024,Orsterra,246,281,305,355,280,330,26 de octubre de 2022,"4,15",D (4.99 - 4.00),Yes,3400,4300,Fame,5 de agosto de 2021,F | 8.0,8,カルドナ,Merchant,Atlasdam,Chance Encounters,Unavailable,,,374,439,343,393,357,437,225,260,"Ice, Polearm"
Molrusso,Yes,"Character%20List/Staff_Staves%209.png, Character%20List/Wind%2013.png",Available in GL,6 de febrero de 2025,20 de julio de 2023,8 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de junio de 2025,25 de abril de 2024,Orsterra,278,313,350,415,399,464,7 de diciembre de 2022,"3,17",E (3.99 - 0.00),Yes,2772,3512,Power,25 de diciembre de 2020,F+ | 8.5,"8,5",モルルッソ,Cleric,Cragspear,Chance Encounters,Available in JP,,7 de noviembre de 2024,261,311,282,332,425,505,326,376,"Staff, Wind"
Fiore,No,"Character%20List/Sword%2011.png, Character%20List/Dark%209.png",Available in GL,16 de enero de 2025,14 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de julio de 2025,9 de mayo de 2024,Orsterra,333,383,237,287,241,291,27 de julio de 2022,"3,5",E (3.99 - 0.00),Yes,3222,4042,Fame,28 de octubre de 2020,F | 8.0,8,フィオル,Warrior,Rippletide,Chance Encounters,Available in GL,30 de octubre de 2025,6 de enero de 2025,404,469,343,408,286,356,310,345,"Dark, Sword"
Canary,Yes,"Character%20List/Dagger%2012.png, Character%20List/Fire%2018.png",Available in GL,13 de marzo de 2025,1 de agosto de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,2 de octubre de 2025,1 de agosto de 2024,Orsterra,338,388,276,326,248,298,27 de marzo de 2024,"9,13",S (9.49 - 8.50),Never,2872,3692,Wealth,1 de marzo de 2023,D | 9.2-9.1,"9,2",カナリィ,Thief,Grandport,Sacred Blaze Guidance,Unavailable,,,328,393,265,285,342,422,470,535,"Dagger, Fire"
Tikilen,No,"Character%20List/Sword%2012.png, Character%20List/Wind%2014.png",Available in GL,1 de mayo de 2025,11 de abril de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,11 de abril de 2024,Orsterra,290,340,387,437,241,291,7 de septiembre de 2022,"4,29",D (4.99 - 4.00),Never,3062,3882,Wealth,10 de febrero de 2021,F | 8.0,8,ティキレン,Warrior,Victors Hollow,Tourney,Unavailable,,,324,389,323,388,301,371,290,325,"Sword, Wind"
Agnea,Yes (CN only),"Character%20List/Fan%2011.png, Character%20List/Wind%2015.png",Available in GL,23 de enero de 2025,28 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,23 de enero de 2025,28 de octubre de 2023,Solistia,262,297,402,467,337,387,23 de enero de 2025,7,A (8.49 - 7.00),Never,2776,3596,Approval,28 de octubre de 2023,D | 9.2-9.1,"9,2",アグネア,Dancer,Memoir Logs,Memoirs of Solistia,Available in GL,9 de abril de 2026,20 de marzo de 2025,235,285,235,285,544,614,382,447,"Fan, Wind"
S. Odio,Yes,"Character%20List/Staff_Staves%2010.png, Character%20List/Fire%2019.png, Character%20List/Dark%2010.png",Available in GL,22 de enero de 2026,4 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de enero de 2026,4 de julio de 2024,Dominion of Hate (Live A Live),218,253,460,525,339,404,10 de julio de 2024,5,C (5.99 - 5.00),Never,2722,3462,Power,30 de marzo de 2023,D | 9.2-9.1,"9,2",オディオ・S,Cleric,Memoir,Live A Live Crossover Guidance,Available in JP,,,226,276,282,332,525,605,341,391,"Dark, Fire, Staff"
Bargello,No,"Character%20List/Dagger%2013.png, Character%20List/Wind%2016.png",Available in GL,3 de julio de 2025,2 de mayo de 2024,22 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,3 de julio de 2025,2 de mayo de 2024,Orsterra,368,418,241,291,258,308,24 de enero de 2024,"8,44",A (8.49 - 7.00),Never,2932,3752,Wealth,28 de octubre de 2022,B | 9.6-9.5,"9,5",バルジェロ,Thief,Memoir,Traveler of Memories,Available in JP,,,423,488,275,295,332,412,380,445,"Dagger, Wind"
Eliza,No,"Character%20List/Sword%2013.png, Character%20List/Light%2015.png",Available in GL,13 de febrero de 2025,14 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,,29 de agosto de 2024,Orsterra,278,328,337,387,251,301,14 de septiembre de 2022,"3,85",E (3.99 - 0.00),Yes,3092,3912,Power,25 de marzo de 2021,F+ | 8.5,"8,5",エリザ,Warrior,Cathedral of Thytos,Chance Encounters,Available in GL,30 de octubre de 2025,5 de diciembre de 2024,359,424,338,403,368,438,280,315,"Light, Sword"
Lionel,Yes,"Character%20List/Sword%2014.png, Character%20List/Ice%2010.png",Available in GL,6 de marzo de 2025,6 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de marzo de 2025,28 de marzo de 2024,Orsterra,318,368,237,287,256,306,2 de noviembre de 2022,"3,31",E (3.99 - 0.00),Yes,3252,4072,Fame,14 de enero de 2021,F+ | 8.5,"8,5",ライオネル,Warrior,Flamesgrace,Chance Encounters,Available in GL,30 de octubre de 2025,19 de diciembre de 2024,404,469,358,423,286,356,275,310,"Ice, Sword"
Alaune EX,No,"Character%20List/Fan%2012.png, Character%20List/Ice%2011.png",Available in GL,27 de marzo de 2025,19 de octubre de 2023,26 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de marzo de 2025,19 de octubre de 2023,Orsterra,226,261,404,469,360,410,24 de abril de 2024,"7,13",A (8.49 - 7.00),Never,2746,3566,Power,1 de enero de 2023,C | 9.4-9.3,"9,4",アラウネEx,Dancer,Memoir,Traveler of Memories,Unavailable,,,201,251,316,366,597,667,278,343,"Fan, Ice"
Sazantos EX,Yes,"Character%20List/Spear_Polearm%2011.png, Character%20List/Fire%2020.png, Character%20List/Wind%2017.png",Available in GL,17 de julio de 2025,20 de junio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,17 de julio de 2025,20 de junio de 2024,Orsterra,346,381,225,275,245,295,17 de julio de 2025,"8,71",S (9.49 - 8.50),Never,3220,4120,Power,20 de junio de 2024,C | 9.4-9.3,"9,4",サザントスEx,Merchant,Memoir,Final Fantasy IV Crossover Guidance,Available in JP,,19 de diciembre de 2024,479,544,288,338,342,422,300,335,"Fire, Polearm, Wind"
Ochette,Yes,"Character%20List/Bow%208.png, Character%20List/Sword%2015.png, Character%20List/Spear_Polearm%2012.png, Character%20List/Axe%2010.png, Character%20List/Lightning_Thunder%2015.png, Character%20List/Wind%2018.png, Character%20List/Light%2016.png",Available in GL,30 de enero de 2025,20 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,30 de enero de 2025,9 de noviembre de 2023,Solistia,395,460,220,270,238,258,30 de enero de 2025,"8,14",A (8.49 - 7.00),Never,2862,3682,Opulence,20 de julio de 2023,E | 9.0,9,オーシュット,Hunter,Memoir Logs,Memoirs of Solistia,Available in GL,,,457,522,213,263,376,456,410,460,"Axe, Bow, Light, Lightning, Polearm, Sword, Wind"
Sazantos,Yes,"Character%20List/Sword%2016.png, Character%20List/Fire%2021.png, Character%20List/Light%2017.png",Available in GL,30 de enero de 2025,28 de septiembre de 2023,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,,17 de octubre de 2024,Orsterra,268,318,287,337,216,266,24 de julio de 2024,"8,58",S (9.49 - 8.50),Never,3112,3932,Power,28 de abril de 2023,C | 9.4-9.3,"9,4",サザントス,Warrior,Memoir,Traveler of Memories,Available in GL,30 de octubre de 2025,24 de octubre de 2024,424,489,328,393,471,541,290,325,"Fire, Light, Sword"
Osvald,Yes,"Character%20List/Tome%2015.png, Character%20List/Fire%2022.png, Character%20List/Ice%2012.png, Character%20List/Lightning_Thunder%2016.png",Available in GL,24 de abril de 2025,18 de enero de 2024,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de abril de 2025,18 de enero de 2024,Solistia,291,341,489,554,315,365,24 de abril de 2025,"8,5",S (9.49 - 8.50),Never,2736,3396,Domination,18 de enero de 2024,B | 9.6-9.5,"9,6",オズバルド,Scholar,Memoir Logs,Memoirs of Solistia,Available in GL,22 de enero de 2026,31 de octubre de 2024,211,261,266,316,592,682,238,288,"Fire, Ice, Lightning, Tome"
Signa,No,"Character%20List/Fan%2013.png, Character%20List/Fire%2023.png, Character%20List/Light%2018.png",Available in GL,30 de enero de 2025,28 de septiembre de 2023,5 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de julio de 2025,3 de octubre de 2024,Orsterra,262,297,402,467,342,392,24 de julio de 2024,"9,75",S+ (10.00 - 9.50),Never,2676,3496,Fame,28 de abril de 2023,B | 9.6-9.5,"9,6",シグナ,Dancer,Memoir,Traveler of Memories,Available in GL,30 de octubre de 2025,24 de octubre de 2024,245,295,255,305,504,574,397,462,"Fan, Fire, Light"
Lynette EX,No,"Character%20List/Dagger%2014.png, Character%20List/Fire%2024.png, Character%20List/Ice%2013.png, Character%20List/Lightning.png, Character%20List/Wind%2019.png, Character%20List/Light%2019.png, Character%20List/Dark%2011.png",Available in GL,25 de diciembre de 2025,,,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,25 de diciembre de 2025,,Orsterra,330,380,435,485,258,308,25 de diciembre de 2025,"8,56",S (9.49 - 8.50),Never,2901,3721,Fame,,,,リネットEx,Thief,Memoir,Seaside Traveler,Available in GL,25 de diciembre de 2025,,231,296,278,298,466,546,430,495,"Dagger, Dark, Fire, Ice, Light, Lightning, Wind"
Tiziano,No,"Character%20List/Dagger%2015.png, Character%20List/Wind%2020.png",Available in GL,18 de septiembre de 2025,28 de abril de 2024,8 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,18 de septiembre de 2025,28 de abril de 2024,Orsterra,308,358,241,291,243,293,18 de septiembre de 2025,"9,49",S (9.49 - 8.50),Never,2912,3732,Wealth,28 de abril de 2024,B | 9.6-9.5,"9,6",ティツィアーノ,Thief,Memoir,Traveler of Memories,Available in GL,9 de abril de 2026,5 de diciembre de 2024,398,463,270,290,372,452,460,525,"Dagger, Wind"
Millard,No,"Character%20List/Staff_Staves%2011.png, Character%20List/Light%2020.png",Available in GL,16 de enero de 2025,21 de diciembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,16 de enero de 2025,21 de diciembre de 2023,Orsterra,278,313,365,430,419,484,27 de julio de 2022,"2,46",E (3.99 - 0.00),Yes,2772,3512,Fame,28 de octubre de 2020,F | 8.0,8,ミロード,Cleric,Valore,Chance Encounters,Available in GL,23 de abril de 2026,19 de junio de 2025,251,301,292,342,420,500,296,346,"Light, Staff"
Mirgardi,No,"Character%20List/Fan%2014.png, Character%20List/Axe%2011.png, Character%20List/Fire%2025.png, Character%20List/Wind%2021.png",Available in GL,1 de mayo de 2025,21 de diciembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,1 de mayo de 2025,21 de diciembre de 2023,Solistia,240,275,292,357,277,327,1 de mayo de 2025,"4,86",D (4.99 - 4.00),Never,2886,3706,Opulence,30 de enero de 2024,E | 9.0,9,ミルガルディ,Dancer,Memoir Logs,Tourney,Unavailable,,,415,465,267,317,434,504,342,407,"Axe, Fan, Fire, Wind"
Neha,No,"Character%20List/Fan%2015.png, Character%20List/Ice%2014.png, Character%20List/Dark%2012.png",Available in GL,6 de febrero de 2025,14 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,18 de enero de 2024,Solistia,262,297,417,482,337,387,6 de febrero de 2025,"6,75",B (6.99 - 6.00),Yes,2776,3596,Domination,14 de septiembre de 2023,B | 9.6-9.5,"9,6",ネーハ,Dancer,Memoir Logs,Chance Encounters,Available in JP,,30 de enero de 2025,230,280,225,275,569,639,357,422,"Dark, Fan, Ice"
Ogen,No,"Character%20List/Axe%2012.png, Character%20List/Ice%2015.png",Available in GL,20 de marzo de 2025,22 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,26 de septiembre de 2024,Orsterra,203,253,451,516,238,288,9 de mayo de 2024,"6,4",B (6.99 - 6.00),Yes,3210,4030,Fame,11 de mayo de 2023,C | 9.4-9.3,"9,3",オーゲン,Apothecary,Atlasdam,Chance Encounters,Available in JP,,8 de mayo de 2025,345,395,332,382,398,468,241,291,"Axe, Ice"
Agnea EX,Yes,"Character%20List/Bow%209.png, Character%20List/Light%2021.png, Character%20List/Dark%2013.png",Available in GL,17 de julio de 2025,20 de junio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,17 de julio de 2025,20 de junio de 2024,Solistia,305,370,400,450,233,253,17 de julio de 2025,"7,86",A (8.49 - 7.00),Never,2872,3692,Fame,20 de junio de 2024,C | 9.4-9.3,"9,4",アグネアEx,Hunter,Memoir,Final Fantasy IV Crossover Guidance,Available in JP,,19 de diciembre de 2024,432,497,213,263,386,466,340,390,"Bow, Dark, Light"
Olberic,No,"Character%20List/Sword%2017.png, Character%20List/Spear_Polearm%2013.png, Character%20List/Lightning_Thunder%2017.png",Available in GL,23 de enero de 2025,13 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de febrero de 2025,14 de febrero de 2024,Orsterra,258,308,237,287,271,321,25 de enero de 2023,"4,92",D (4.99 - 4.00),Yes,3452,4272,Power,28 de octubre de 2021,D | 9.2-9.1,"9,1",オルベリク,Warrior,Sheperd's Rock,Chance Encounters,Available in GL,30 de octubre de 2025,29 de mayo de 2025,434,499,378,443,291,361,235,270,"Lightning, Polearm, Sword"
Yan Long,No,"Character%20List/Staff_Staves%2012.png, Character%20List/Ice%2016.png",Available in GL,12 de junio de 2025,12 de septiembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de junio de 2025,12 de septiembre de 2024,Orsterra,277,312,265,330,324,389,15 de marzo de 2023,"5,92",C (5.99 - 5.00),Never,3032,3772,Wealth,27 de octubre de 2021,E | 9.0,9,イェンロン,Cleric,I'cirlo,Tourney,Unavailable,,,381,431,267,317,348,428,326,376,"Ice, Staff"
Rinyuu EX,Yes,"Character%20List/Axe%2013.png, Character%20List/Light%2022.png, Character%20List/Fire%2026.png, Character%20List/Ice%2017.png",Available in GL,31 de julio de 2025,29 de agosto de 2024,12 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,31 de julio de 2025,29 de agosto de 2024,Orsterra,238,288,370,435,439,489,31 de julio de 2025,"9,73",S+ (10.00 - 9.50),Never,2622,3442,Fame,29 de agosto de 2024,A | 9.7,"9,7",リンユウEx,Apothecary,Memoir,Traveler of Memories,Available in GL,5 de febrero de 2026,7 de noviembre de 2024,241,291,322,372,495,565,286,336,"Axe, Fire, Ice, Light"
